FUNC __main__.calc_pure_python 48.9336 1769006648.5085 51.5938 1769006648.6310 0
FUNC __main__.calculate_z_serial_purepython 52.1484 1769006648.5136 52.5742 1769006648.6306 1
CMDLINE /home/pavel/IdeaProjects/DD2358/.venv/bin/python3 JuliaSet.py
MEM 0.628906 1769006648.3354
MEM 36.160156 1769006648.4356
MEM 52.472656 1769006648.5357
MEM 51.593750 1769006648.6359
