         7772742 function calls (7770539 primitive calls) in 7.887 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
       31    0.000    0.000    0.002    0.000 typing.py:1562(copy_with)
19159/19129    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    13337    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     1002    0.002    0.000    0.002    0.000 {built-in method numpy.array}
      166    0.000    0.000    0.001    0.000 __init__.py:280(_compile)
      458    0.000    0.000    0.001    0.000 _inspect.py:97(getargspec)
     6412    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      104    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
      186    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      269    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
        9    0.000    0.000    0.001    0.000 _compiler.py:740(compile)
     1744    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
      197    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
     6829    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 format.py:1(<module>)
       70    0.000    0.000    0.001    0.000 typing.py:1390(copy_with)
      323    0.001    0.000    0.001    0.000 typing.py:175(_type_check)
     9116    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
        7    0.000    0.000    0.001    0.000 __init__.py:226(compile)
        8    0.000    0.000    0.001    0.000 typing.py:2780(__new__)
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
      363    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       10    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
      750    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.001    0.001 _format_impl.py:1(<module>)
     5046    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      363    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      255    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
       97    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        8    0.000    0.000    0.001    0.000 typing.py:2761(_make_nmtuple)
       76    0.000    0.000    0.001    0.000 typing.py:1609(__hash__)
     2908    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       93    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
  533/455    0.001    0.000    0.001    0.000 typing.py:1258(__hash__)
      106    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       24    0.000    0.000    0.001    0.000 inspect.py:3308(signature)
      458    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
       24    0.000    0.000    0.001    0.000 inspect.py:3050(from_callable)
       93    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       24    0.000    0.000    0.001    0.000 inspect.py:2470(_signature_from_callable)
        9    0.000    0.000    0.001    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
     4462    0.001    0.000    0.001    0.000 typing.py:1599(<genexpr>)
      305    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     15/9    0.000    0.000    0.001    0.000 _parser.py:452(_parse_sub)
       63    0.000    0.000    0.001    0.000 typing.py:1573(__hash__)
        1    0.000    0.000    0.001    0.001 _utils_impl.py:1(<module>)
       27    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:76(add_newdoc_for_scalar_type)
     15/9    0.000    0.000    0.001    0.000 _parser.py:512(_parse)
     3045    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       67    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       24    0.000    0.000    0.001    0.000 inspect.py:2366(_signature_from_function)
     2170    0.001    0.000    0.001    0.000 rz-pic.py:58(__init__)
       53    0.000    0.000    0.001    0.000 __init__.py:179(sub)
      365    0.000    0.000    0.001    0.000 typing.py:1178(__getattr__)
      305    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       10    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
      117    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
  785/780    0.000    0.000    0.001    0.000 {built-in method __new__ of type object at 0xa43b40}
       11    0.000    0.000    0.000    0.000 typing.py:1264(__ror__)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
     2170    0.000    0.000    0.000    0.000 {built-in method math.cos}
        9    0.000    0.000    0.000    0.000 _compiler.py:573(_code)
      128    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       53    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
     1359    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
     2590    0.000    0.000    0.000    0.000 rz-pic.py:24(Pos)
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
      186    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
      377    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 scimath.py:1(<module>)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      106    0.000    0.000    0.000    0.000 __init__.py:164(match)
     29/9    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       11    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        3    0.000    0.000    0.000    0.000 warnings.py:131(filterwarnings)
      373    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
     1708    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 printoptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 overrides.py:1(<module>)
